5.489397048950195312e-01,1.295284330844879150e-01,2.688542194664478302e-02,7.646243553608655930e-03,1.317181736230850220e-01,1.552820354700088501e-01
4.788799583911895752e-01,8.093224465847015381e-02,2.003769390285015106e-02,4.815374966710805893e-03,1.698640882968902588e-01,2.454707324504852295e-01
4.563634395599365234e-01,6.564091145992279053e-02,1.504857186228036880e-02,4.560586530715227127e-03,1.454026997089385986e-01,3.129838109016418457e-01
5.052483677864074707e-01,8.395977318286895752e-02,1.604505628347396851e-02,4.494926892220973969e-03,1.837846785783767700e-01,2.064671814441680908e-01
4.017540216445922852e-01,5.986844003200531006e-02,1.713867671787738800e-02,4.670189693570137024e-03,3.020005226135253906e-01,2.145681530237197876e-01
2.868012785911560059e-01,4.390525072813034058e-02,1.534503232687711716e-02,2.576429862529039383e-03,5.500807166099548340e-01,1.012913063168525696e-01
2.892466485500335693e-01,6.181709840893745422e-02,1.239630021154880524e-02,1.263049780391156673e-03,5.834426879882812500e-01,5.183431506156921387e-02
4.463123679161071777e-01,1.405641734600067139e-01,1.485519111156463623e-02,1.717560808174312115e-03,3.361209332942962646e-01,6.042976304888725281e-02
5.697256922721862793e-01,2.331206947565078735e-01,1.659582927823066711e-02,4.934393800795078278e-03,1.021011397242546082e-01,7.352230697870254517e-02
5.830981731414794922e-01,1.325857043266296387e-01,1.561419107019901276e-02,7.937291637063026428e-03,7.411319017410278320e-02,1.866515427827835083e-01
4.906280338764190674e-01,1.927205920219421387e-01,3.838462010025978088e-02,1.258905511349439621e-02,1.211002990603446960e-01,1.445774137973785400e-01
3.673492968082427979e-01,1.399003714323043823e-01,3.756301477551460266e-02,6.880595348775386810e-03,3.148224353790283203e-01,1.334842294454574585e-01
2.563619911670684814e-01,7.824600487947463989e-02,4.251678287982940674e-02,3.884987672790884972e-03,5.487521886825561523e-01,7.023799419403076172e-02
2.091082036495208740e-01,4.114963486790657043e-02,2.666424401104450226e-02,1.060225302353501320e-03,6.829881668090820312e-01,3.902952000498771667e-02
3.081641197204589844e-01,9.245206415653228760e-02,3.974706307053565979e-02,3.764994442462921143e-03,4.441869854927062988e-01,1.116848215460777283e-01
2.513904571533203125e-01,1.018021181225776672e-01,3.101983480155467987e-02,3.996205516159534454e-03,4.749496281147003174e-01,1.368416994810104370e-01
2.973259687423706055e-01,3.400786817073822021e-01,5.343002080917358398e-02,1.935084722936153412e-02,1.157074198126792908e-01,1.741070002317428589e-01
2.962964475154876709e-01,5.261777639389038086e-01,3.512529656291007996e-02,2.060923911631107330e-02,4.126067832112312317e-02,8.053055405616760254e-02
5.197106003761291504e-01,2.966570258140563965e-01,4.824633896350860596e-02,5.776018649339675903e-02,1.887465082108974457e-02,5.875124782323837280e-02
6.406779885292053223e-01,1.922856569290161133e-01,5.620232224464416504e-02,8.255330473184585571e-02,8.894834667444229126e-03,1.938600838184356689e-02
7.354826927185058594e-01,1.378223001956939697e-01,3.939299285411834717e-02,6.497199833393096924e-02,7.634182926267385483e-03,1.469587720930576324e-02
8.278332948684692383e-01,5.113814771175384521e-02,3.820347413420677185e-02,5.390264838933944702e-02,1.326292753219604492e-02,1.565948873758316040e-02
7.640401124954223633e-01,1.100157126784324646e-01,3.630739450454711914e-02,5.514628812670707703e-02,1.798218116164207458e-02,1.650832593441009521e-02
7.702553868293762207e-01,1.028100028634071350e-01,2.601611986756324768e-02,6.249296292662620544e-02,1.626128703355789185e-02,2.216423675417900085e-02
7.621273994445800781e-01,1.186437830328941345e-01,2.289104834198951721e-02,5.842381715774536133e-02,1.402569003403186798e-02,2.388838492333889008e-02
7.521325945854187012e-01,1.243725344538688660e-01,2.267438918352127075e-02,6.115968152880668640e-02,1.386640779674053192e-02,2.579435333609580994e-02
7.449050545692443848e-01,1.305024325847625732e-01,2.308037877082824707e-02,6.015967577695846558e-02,1.467144209891557693e-02,2.668107300996780396e-02
7.541566491127014160e-01,1.251760572195053101e-01,2.295871824026107788e-02,5.435486882925033569e-02,1.616013608872890472e-02,2.719359286129474640e-02
7.454555630683898926e-01,1.333999633789062500e-01,2.293994463980197906e-02,5.763658136129379272e-02,1.465259585529565811e-02,2.591528557240962982e-02
7.457151412963867188e-01,1.372899115085601807e-01,2.284638769924640656e-02,5.461342632770538330e-02,1.444512978196144104e-02,2.509002573788166046e-02
7.522256374359130859e-01,1.287212967872619629e-01,2.316988073289394379e-02,5.752399563789367676e-02,1.363375596702098846e-02,2.472550049424171448e-02
7.544842362403869629e-01,1.286662071943283081e-01,2.221506275236606598e-02,5.527072399854660034e-02,1.373811438679695129e-02,2.562560141086578369e-02
7.758437991142272949e-01,1.002462655305862427e-01,2.195690199732780457e-02,6.318953633308410645e-02,1.198108680546283722e-02,2.678246051073074341e-02
7.706925868988037109e-01,1.044305339455604553e-01,2.217899449169635773e-02,6.196387112140655518e-02,1.266198419034481049e-02,2.807212807238101959e-02
7.761385440826416016e-01,9.589174389839172363e-02,2.224463596940040588e-02,6.157108768820762634e-02,1.377059426158666611e-02,3.038344904780387878e-02
7.681066989898681641e-01,1.030669212341308594e-01,2.236532233655452728e-02,6.294872611761093140e-02,1.334651466459035873e-02,3.016578592360019684e-02
7.604679465293884277e-01,1.168874427676200867e-01,2.277779765427112579e-02,5.557244643568992615e-02,1.500588376075029373e-02,2.928844094276428223e-02
7.641475796699523926e-01,1.103173941373825073e-01,2.202442474663257599e-02,5.816769227385520935e-02,1.477488316595554352e-02,3.056801483035087585e-02
7.554569840431213379e-01,1.207409650087356567e-01,2.221945486962795258e-02,5.816498771309852600e-02,1.390286535024642944e-02,2.951472438871860504e-02
7.521061897277832031e-01,1.270647943019866943e-01,2.310356870293617249e-02,5.371667817234992981e-02,1.552587375044822693e-02,2.848293259739875793e-02
7.597842812538146973e-01,1.266319453716278076e-01,2.702403254806995392e-02,4.260054975748062134e-02,1.851682923734188080e-02,2.544234693050384521e-02
6.651985645294189453e-01,2.107241749763488770e-01,3.637439012527465820e-02,3.516688197851181030e-02,2.697356417775154114e-02,2.556243538856506348e-02
6.053495407104492188e-01,2.862714827060699463e-01,3.917044401168823242e-02,3.184776753187179565e-02,1.575802825391292572e-02,2.160281129181385040e-02
5.362316966056823730e-01,3.506743013858795166e-01,4.178099334239959717e-02,3.375044465065002441e-02,1.661385037004947662e-02,2.094865404069423676e-02
4.488862156867980957e-01,3.725379407405853271e-01,6.359418481588363647e-02,2.813789062201976776e-02,4.753445833921432495e-02,3.930923715233802795e-02
5.414935946464538574e-01,2.024055719375610352e-01,5.374961718916893005e-02,1.906161010265350342e-02,9.327272325754165649e-02,9.001688659191131592e-02
4.603443741798400879e-01,2.880989313125610352e-01,7.750442624092102051e-02,2.147133275866508484e-02,8.735980838537216187e-02,6.522108614444732666e-02
5.057576894760131836e-01,2.877705097198486328e-01,4.717089608311653137e-02,5.314469709992408752e-02,4.726097360253334045e-02,5.889522656798362732e-02
5.735127329826354980e-01,2.358909696340560913e-01,4.348064586520195007e-02,1.071801930665969849e-01,1.006863918155431747e-02,2.986685931682586670e-02
4.716847240924835205e-01,3.380423784255981445e-01,2.931030094623565674e-02,1.464917361736297607e-01,3.075610613450407982e-03,1.139523088932037354e-02
5.362889170646667480e-01,3.221823275089263916e-01,2.114775963127613068e-02,1.065939366817474365e-01,2.974283881485462189e-03,1.081281900405883789e-02
5.121461153030395508e-01,3.898040354251861572e-01,3.311664238572120667e-02,3.960384428501129150e-02,1.170107536017894745e-02,1.362826675176620483e-02
4.890131056308746338e-01,4.311092793941497803e-01,3.159123286604881287e-02,2.296031266450881958e-02,1.287974324077367783e-02,1.244634483009576797e-02
4.779112935066223145e-01,4.450336098670959473e-01,3.079685568809509277e-02,1.975999400019645691e-02,1.397458743304014206e-02,1.252363435924053192e-02
4.784150421619415283e-01,4.444999098777770996e-01,3.080301545560359955e-02,1.979128643870353699e-02,1.396041084080934525e-02,1.253037713468074799e-02
4.784613847732543945e-01,4.444506764411926270e-01,3.080353140830993652e-02,1.979342848062515259e-02,1.395971979945898056e-02,1.253125909715890884e-02
4.784629642963409424e-01,4.444489479064941406e-01,3.080357611179351807e-02,1.979347690939903259e-02,1.395972538739442825e-02,1.253131311386823654e-02
4.784635007381439209e-01,4.444484412670135498e-01,3.080356493592262268e-02,1.979350857436656952e-02,1.395968813449144363e-02,1.253129635006189346e-02
4.784640669822692871e-01,4.444479346275329590e-01,3.080355189740657806e-02,1.979354955255985260e-02,1.395967137068510056e-02,1.253129355609416962e-02
4.784632921218872070e-01,4.444486200809478760e-01,3.080356493592262268e-02,1.979352720081806183e-02,1.395966857671737671e-02,1.253129076212644577e-02
4.784630835056304932e-01,4.444489181041717529e-01,3.080353699624538422e-02,1.979350484907627106e-02,1.395966205745935440e-02,1.253127306699752808e-02
4.784633517265319824e-01,4.444486796855926514e-01,3.080355562269687653e-02,1.979349553585052490e-02,1.395966392010450363e-02,1.253128051757812500e-02
4.784629642963409424e-01,4.444489479064941406e-01,3.080355934798717499e-02,1.979346573352813721e-02,1.395970210433006287e-02,1.253128517419099808e-02
4.784632027149200439e-01,4.444487988948822021e-01,3.080357424914836884e-02,1.979350484907627106e-02,1.395969279110431671e-02,1.253127679228782654e-02
4.784633517265319824e-01,4.444485306739807129e-01,3.080358356237411499e-02,1.979351043701171875e-02,1.395968347787857056e-02,1.253128983080387115e-02
4.784633517265319824e-01,4.444486200809478760e-01,3.080354817211627960e-02,1.979347877204418182e-02,1.395970396697521210e-02,1.253128610551357269e-02
4.784628748893737793e-01,4.444491863250732422e-01,3.080357052385807037e-02,1.979348994791507721e-02,1.395969651639461517e-02,1.253128610551357269e-02
4.784629046916961670e-01,4.444490671157836914e-01,3.080354072153568268e-02,1.979349181056022644e-02,1.395968347787857056e-02,1.253128144890069962e-02
